engine_condition,engine_rpm,lub_oil_pressure,fuel_pressure,coolant_pressure,lub_oil_temp,coolant_temp
0,885.0,3.22,6.24,2.37,78.02,78.8
1,736.3,3.35,6.9,2.32,77.42,78.21
